movie_name,genre,abstract,director,hero,imdb_rating(out of 10),votes,runtime(in mins),language,budget(in Cr),collections(in Cr),verdict
The Kerala Story,Drama,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.",Sudipto Sen,Vipul Amrutlal Shah,7.2,65941,138,Hindi,25,301,Huge Blockbuster
Waltair Veerayya,"Action, Drama",A fisherman who engages in smuggling accepts a request from a disheveled police officer in order to use it to his personal advantage,K.S. Ravindra,Shruti Haasan,6.2,7390,155,Telugu,125,232,Blockbuster
OMG 2,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,Akshay Kumar,7.7,33633,156,Hindi,65,220,Super Hit
Tu Jhoothi Main Makkaar,"Comedy, Romance","Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.",Luv Ranjan,Ranbir Kapoor,6,25290,150,Hindi,100,220,Hit
Thunivu,"Action, Crime, Thriller",A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,H. Vinoth,Ajith Kumar,6.1,28739,146,Tamil,125,200.4,Hit
Kisi Ka Bhai Kisi Ki Jaan,"Action, Comedy, Drama","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.",Farhad Samji,Salman Khan,4.3,40076,145,Hindi,115,185,Below Average
2018,"Action, Drama, Thriller",A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,Jude Anthany Joseph,Tovino Thomas,8.4,9963,150,Malayalam,12,178.7,Huge Blockbuster
Dream Girl 2,"Comedy, Drama, Romance","Karam, who is trying to live a serious life in Mathura and falls in love with Pari but life is hell bent on not taking him seriously. In a turn of events Karam becomes Pooja which creates further chaos in his already chaotic life.",Raaj Shaandilyaa,Ayushmann Khurrana,5.3,9723,134,Hindi,60,138,Hit
Veera Simha Reddy,"Action, Drama","Veera Simha Reddy is a revered man in a village and his son Jai Simha Reddy settles in the USA. When his father gets killed in the village politics, Jai Simha returns to India and takes revenge on who killed his father.",Gopichand Malineni,Nandamuri Balakrishna,4.9,6075,170,Telugu,85,132.5,Hit
Fukrey 3,"Comedy, Crime, Drama",The friends facing disastrously funny situations together and having each other's backs through the trenches to make it out of a new mess this time.,Mrighdeep Lamba,Pulkit Samrat,7.2,21291,147,Hindi,45,127,Hit
Bhagavanth Kesari,"Action, Drama, Thriller",Nelakonda Bhagavanth Kesari is adamant about getting even with a powerful businessman who cost him money. He is prepared to square off against the formidable foe and resolve their issues amicably.,Anil Ravipudi,Nandamuri Balakrishna,7.3,2910,164,Telugu,75,126.4,Hit
Satyaprem Ki Katha,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,Kartik Aaryan,7.2,28253,146,Hindi,65,125,Hit
Bholaa,"Action, Adventure, Crime","After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.",Ajay Devgn,Tabu,6,21921,144,Hindi,100,122,Below Average
Vaathi,"Action, Drama",The life of a young man and his struggles against the privatization of education.,Venky Atluri,Dhanush,7.3,9509,139,"Telugu, Tamil",40,118.2,Blockbuster
Dasara,"Action, Adventure, Drama",Set in the backdrop of Singareni coal mines near Godavarikhani of Telangana.,Srikanth Odela,Nani,6.7,10113,156,Telugu,65,115.3,Super Hit
Zara Hatke Zara Bachke,"Comedy, Drama, Family","Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors.",Laxman Utekar,Vicky Kaushal,6.5,8671,132,Hindi,50,115.1,Super Hit
Bro,"Comedy, Drama, Family",An arrogant man is given a second chance to fix his mistakes after death.,Samuthirakani,Urvashi Rautela,6.8,10034,134,Telugu,110,110.8,Flop
Mark Antony,"Action, Comedy, Drama","Two gangsters, Mark and Antony acquire a mobile phone that has the ability to time travel.",Adhik Ravichandran,Vishal,6.7,4028,150,Tamil,30,104.1,Blockbuster
Carry on Jatta 3,"Comedy, Drama, Romance","Advocate Dhillon's son, Jass, is in love with Meet but her brothers get in a tussle with Adv. Dhillon. As a result, Adv. Dhillon rejects Meet's hand in marriage. Left with no option, Jass weaves a madhouse plan to propose to his friend.",Smeep Kang,Gippy Grewal,6.7,10944,136,Punjabi,15,101.2,All Time Blockbuster
Baipan Bhari Deva,"Comedy, Drama, Family",Six estranged sisters who are forced to come together for a Managalagaur competition. Can they overcome their past and face their struggles?,Kedar Shinde,Nutan Aasgaonkar,8.7,704,137,Marathi,5,91,Huge Blockbuster
Virupaksha,"Action, Drama, Horror","Mysterious deaths occur in a village due to an unknown person's occult practices. The whole town is afraid, and the problems continue as they search for the one responsible.",Karthik Varma Dandu,Sai Dharam Tej,7.2,5488,145,Telugu,40,88.7,Blockbuster
RDX: Robert Dony Xavier,"Action, Adventure",The life of three mysterious individuals take a turn as their faces gets exposed.,Nahas Hidayath,Antony Varghese,7.2,3944,151,Malayalam,15,83.8,Blockbuster
Baby,"Drama, Romance",A love story between neighbours and childhood friends played and what happens to their relationship when they go to college and meets a new person.,Sai Rajesh Neelam,Anand Deverakonda,7.3,8119,175,Telugu,7,82.4,Blockbuster
Kannur Squad,"Action, Crime, Drama","The gripping saga of a police officer and his team, their challenging journey to nab a criminal gang across the country. Further, it shows how he leads his team towards triumph, amidst professional uncertainties in this gripping drama.",Roby Varghese Raj,Mammootty,8.1,3869,161,Malayalam,25,82.3,Blockbuster
Maaveeran,"Action, Comedy, Drama","A cowardly cartoonist starts being 'controlled' by a cartoon action figure, and takes on a corrupt politician.",Madonne Ashwin,Sivakarthikeyan,7.4,7494,163,Tamil,55,81.1,Above Average
Kushi,"Comedy, Drama, Romance","Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader.",Shiva Nirvana,Samantha Ruth Prabhu,5.4,6971,163,Telugu,55,77.4,Below Average
Maamannan,"Action, Drama, Thriller","The community that was exploited by the town's influential man, who completely rules due to the powerful backing of the authorities. A man collects evidence to flip him upside down when he was helpless to stop his endless torture.",Mari Selvaraj,Vadivelu,6.7,5006,157,Tamil,30,72,Blockbuster
Mastaney,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,Tarsem Jassar,8.7,5211,150,Punjabi,18,72,Blockbuster
Romancham,"Comedy, Horror",A game of Ouija board goes hilariously wrong when seven bachelors unexpectedly invite a spirit and try to make the best out of the situation.,Jithu Madhavan,Soubin Shahir,7.6,5881,130,Malayalam,4,67,Blockbuster
Skanda: The Attacker,"Action, Drama, Romance","When his sister is put into a coma, a man vows to get revenge on the corrupt men who injured her.",Boyapati Srinu,Ram Pothineni,4.2,1994,167,Telugu,55,58.7,Flop
Chandramukhi 2,"Comedy, Drama, Horror","A wealthy family faces numerous problems and reunites with their long-lost relatives to pray to their deity for solutions, unaware it will reawaken the feud between a classical dancer, Chandramukhi and Vettaiyan Raja from centuries ago.",P. Vasu,Mahendran,2.6,2796,172,Tamil,60,57.5,Flop
Viduthalai: Part 1,"Action, Crime, Drama",A police officer is recruited to capture the leader of a separatist group.,Vetrimaaran,Soori,8.3,7260,150,Tamil,20,53.2,Blockbuster
Kranti,"Action, Drama","When corrupt forces try to take over thousands of government schools in an Indian state, NRI businessman Kranti Rayanna must bring about a revolution to protect the interests of the students",V. Harikrishna,Darshan Thoogudeep,5.5,10475,163,Kannada,30,50.2,Hit
Miss Shetty Mr Polishetty,"Comedy, Drama, Romance","Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow connect.",Mahesh Babu P.,Keshav Deepak,7.1,3151,149,Telugu,25,50.1,Blockbuster
Jigarthanda Double X,"Action, Comedy, Drama","In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.",Karthik Subbaraj,Raghava Lawrence,8.5,2171,172,Tamil,55,49.4,Still Running
Shehzada,"Action, Comedy, Drama","Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.",Rohit Dhawan,Kartik Aaryan,4.5,30691,142,Hindi,65,49,Flop
Tiger Nageswara Rao,"Action, Crime, Drama","A legendary real-life robber of Stuartpuram, Andhra Pradesh called Tiger Nageswara Rao in the 1970s, who was noted for his ingenious ways of evading the police and prison.",Vamsee,Ravi Teja,6.7,1954,172,Telugu,55,48.8,Flop
Jodi,"Comedy, Drama, Romance","In Punjab in the 1980s, this musical drama follows two artists revolutionizing Punjabi folk. As the most celebrated musical duos in the region, their love story emerges. A shroud of mystery envelopes their path.",Amberdeep Singh,Diljit Dosanjh,8.1,376,139,Punjabi,15,47.5,Super Hit
12th Fail,"Biography, Drama",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,Vikrant Massey,9.2,6899,147,Hindi,20,45.7,Still Running
Kabzaa,"Action, Crime, Thriller","In 1947 a Gandhi follower and a freedom fighter were brutally attacked. Due to unavoidable circumstances, the freedom fighter son gets trapped in the mafia world and the story revolves between 1942 to 1986.",R. Chandru,Shivu Hiremath,5.3,15235,134,Kannada,100,45.4,Flop
Bholaa Shankar,"Action, Crime, Drama",A doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,Chiranjeevi,3.2,1879,159,Telugu,110,44.5,Disaster
Por Thozhil,"Action, Crime, Thriller",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,Vignesh Raja,T. Senthil Paramasivam,8,8028,147,Tamil,7,43.4,Blockbuster
Mission Raniganj,"Action, Biography, Drama",Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.,Tinu Suresh Desai,Akshay Kumar,7.7,12195,134,Hindi,65,43,Flop
Pichaikkaran 2,"Action, Drama, Sci-Fi","A business tycoon being preyed on for his wealth, and a beggar on a constant hunt for his long-lost sister. How does money determine the fate of these two lives?",Vijay Antony,Vijay Antony,5.7,1821,148,Tamil,20,41.2,Hit
Kali Jotta,"Crime, Drama, Romance",The life and struggle of Raabia and her student Anant. Their relationship raises various questions and disagreements towards the politics of gender performativity in Indian cultural system.,Vijay Kumar Arora,Satinder Sartaaj,7.3,1573,130,Punjabi,3,40.5,Blockbuster
King of Kotha,"Action, Crime, Drama","In a crime-infested town, Kannan bhai and his gang are the reigning powers. To combat this reign and seek revenge, Inspector Shahul tactfully plots the return of the 'King', leading to a transformative turn of events.",Abhilash Joshiy,Dulquer Salmaan,6.1,6799,174,Malayalam,45,40.1,Flop
Pathu Thala,"Action, Crime, Drama","An undercover cop goes to find and kill a crime lord. However, when he realizes that the crime lord's business intentions are good and he has his own challenges, he needs to decide his next step and help the crime lord change his life.",Obeli N. Krishna,Silambarasan Rajendar,6.9,9491,151,Tamil,35,38.2,Average
Mrs. Chatterjee vs. Norway,"Biography, Drama",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,Ashima Chibber,Rani Mukerji,7.3,9006,144,Hindi,20,36,Above Average
DD Returns,"Comedy, Horror","The protagonist and his friends hides a bag full of money and jewels in a haunted bungalow to ditch the police. When he goes to retrieve the bag, a ghost makes him play a survival game in order to leave with the bag.",S. Prem Anand,Santhanam Neelamegam,6.2,1374,124,Tamil,10,35.4,Super Hit
3 Ekka,"Comedy, Drama","Three friends stuck in financial crises, come up with an idiotic plan to transform a simple middle-class house into a secret gambling den. A series of mishaps inside and outside the gambling den keep piling up. Will they win or lose?",Rajesh Sharma,Malhar Thakar,7.5,425,146,Gujarati,5,33,Blockbuster
Ghost,"Action, Thriller",A Group of some people hijacked the jail in the city and demanding the release of ghost or elsewhere all the criminals will be set free.,Srini,Shivarajkumar,8.2,6421,132,Kannada,18,31.5,Super Hit
Samajavaragamana,"Comedy, Drama, Family",A lifelong university student struggling to pass his exams enlists the help of his son and his lovestruck friend. Hijinks ensue amidst blossoming love and comic bust-ups.,Ram Abbaraju,Raghu Babu,7.4,1416,140,Telugu,7,30.6,Blockbuster
IB 71,"Action, Thriller",A two- front war between Indian intelligence agencies and the Pakistani establishment.,Sankalp Reddy,Lee Whittaker,7.2,9630,117,Hindi,25,29,Below Average
Saptha Sagaradaache Ello - Side A,"Drama, Romance","Manu and Priya hail from a middle-class background and fall in love. When circumstances land Manu in jail, his relationship with Priya is put in jeopardy.",Hemanth M. Rao,Rakshit Shetty,8.4,5169,142,Kannada,15,27.3,Super Hit
Balagam,"Drama, Family","Balagam is set in a village in Telangana and it revolves around the after effects on a family and its relations, both with the village folks and among themselves, after the jovial patriarch of the family suddenly passes away.",Venu Yeldandi,Priyadarshi Pulikonda,8,2676,131,Telugu,4,26.2,Blockbuster
Selfiee,"Action, Comedy, Drama","Bollywood superstar Vijay Kumar needs to obtain a new driving license from RTO officer Om Prakash Agarwal, a diehard fan of Vijay. A misunderstanding escalates into a feud which is played out in front of the entire country.",Raj Mehta,Akshay Kumar,5.7,12952,148,Hindi,115,25.1,Disaster
Japan,"Action, Drama, Thriller","A daring robbery in a jewellery showroom kickstarts the hunt for Japan, a notorious robber, who is a law unto himself.",Raju Murugan,Sadaha Sivam,3.4,1172,156,Tamil,60,24.4,Still Running
Iraivan,"Action, Crime, Drama","A city lives in fear of a psychotic killer, and confidence in the police wanes. Arjun and Andrew finally arrest the killer, but he escapes and chaos reigns again.",I. Ahmed,Jayam Ravi,4.6,1659,154,Tamil,25,23.8,Flop
Das Ka Dhamki,"Action, Comedy, Drama","Krishna Das, a waiter, falls for Keerthi, while his lookalike, Dr. Sanjay Rudra, dies in an accident the night before Das loses his job and love. Rao Ramesh encounters Krishna Das and ...                See full summary »",Vishwak Sen,Vishwak Sen,6.2,1766,140,Telugu,15,22.5,Hit
Spy,"Action, Thriller","After receiving the news of the death of his elder brother Subash, who worked for R&AW, Jay sets out on a mission to find out what happened leading him into a bigger conspiracy of a possible nuclear attack threat to the country.",Garry Bh,Nikhil Siddharth,5.2,4168,135,Telugu,25,22.3,Flop
Godday Godday Chaa,"Comedy, Drama, Family","During 1990s, women were not allowed to accompany men to baraats, and the groom's mother was not allowed to attend pheras. Rani intends to put an end to this ritual and starts building a team with other women, fights for women's rights.",Vijay Kumar Arora,Sonam Bajwa,7.1,498,129,Punjabi,5,22.3,Hit
Ravanasura,"Action, Crime, Drama",Junior lawyer Ravindra is a goof whom no one seems to take seriously. But there's more to him beneath the surface.,Sudheer Varma,Ravi Teja,5.7,2312,141,Telugu,35,22.1,Flop
Dada,"Drama, Family, Romance","A couple in love, accidentally become teenage parents. Unpleasant situations make them fall apart. Manikandan, left alone with his son, struggles as a single teenage father. Fate owns him, bringing Sindhu back into his life.",Ganesh K. Babu,Kavin,8.2,5021,133,Tamil,5,22,Super Hit
Voice of Sathyanathan,"Comedy, Thriller",A man's life becomes increasingly complicated after his neighbor is injured in a dispute over a fence.,Raffi,Thennal Abhilash,6.2,1153,135,Malayalam,10,21.3,Hit
Mad,Comedy,"Set in an engineering college and revolves around the antics of the students there, primarily the boys, who get a kick out of torturing the hostel warden.",Kalyan Shankar,Anthony,7.5,1140,127,Telugu,7,20.5,Blockbuster
Garudan,"Crime, Thriller","Harish Madhav, a straightforward cop, and Nishanth, a college professor, get entangled in a crime and one has to fight for his integrity and other has to fight for justice.",Arun Varma,Divya Pillai,7.4,544,138,Malayalam,8,20.1,Still Running
Rudhran,"Action, Drama, Thriller","Rudhran is a happy IT man living with his family until the moment his life is turned upside down. He comes upon a major criminal network including a businessman, Rudhran embarks on a mission to expose him the criminal network.",S. Kathiresan,Raghava Lawrence,5.1,895,149,Tamil,20,19.8,Flop
Maa Oori Polimera 2,Horror,Revolves around a policeman who sets out to seek justice for his brother's death in a village plagued by black magic.,Anil Viswanath,Baladitya,7.5,321,125,Telugu,6,19.1,Still Running
1920: Horrors of the Heart,"Drama, Horror",A young girl walks into a world of darkness is search of revenge but darkness consumes her making her a victim of that very revenge.,Krishna Bhatt,Rupam Bag,2.8,3952,122,Hindi,13,18.4,Average
Ganapath,"Action, Drama, Sci-Fi","In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, Ganapath becomes a symbol of hope for the oppressed in which leads dark.",Vikas Bahl,Tiger Shroff,5.3,9435,133,Hindi,150,18,Disaster
Paachuvum Albhuthavilakkum,"Comedy, Drama",A middle-class Malayali youth who is settled in Mumbai and revolves around incidents that take place on a journey to Kerala.,Akhil Sathyan,Fahadh Faasil,7.3,3047,171,Malayalam,13,17.1,Flop
Custody,"Action, Drama, Thriller","Constable Siva is assigned to escort a witness from police custody to the courtroom. As a twist in the plot, Siva learns that the entire police department wants the witness dead and starts the real run.",Venkat Prabhu,Naga Chaitanya Akkineni,5.9,4971,148,"Telugu, Tamil",35,16.7,Disaster
Hostel Hudugaru Bekagiddare,Comedy,"When a boys' hostel warden commits suicide, he leaves behind a note blaming some students residing on the premises for his death. The suspects must now come up with a plan to hide the body.",Nithin Krishnamurthy,Manjunath,7.4,1456,144,Kannada,4,16.7,Blockbuster
Chithha,"Drama, Thriller","A man is raising his niece like his own daughter, and everything appears normal in their life until the little girl goes missing.",S.U. Arun Kumar,Aafiyah,8.6,847,140,Tamil,6,15.4,Super Hit
Keedaa Cola,"Action, Comedy, Crime",A hilarious group takes on a challenge of a lifetime when they decide to make quick money by planting a cockroach into a soft drink bottle. Will they hit the jackpot?,Tharun Bhascker Dhaassyam,Brahmanandam,8.8,2519,135,Telugu,10,15.1,Still Running
Agent,"Action, Mystery, Thriller","A spy with a mysterious past, who is on a mission to uncover the truth about a dangerous terrorist organization.",Surender Reddy,Akhil Akkineni,4.1,1198,156,Telugu,65,13.2,Disaster
Agilan,"Action, Drama, Thriller","When a crane operator starts controlling illegal trades at the harbor, he winds up clashing with another gangster.",N. Kalyanakrishnan,Jayam Ravi,4.3,754,133,Tamil,25,12.9,Flop
Bedurulanka 2012,"Action, Comedy, Drama","Set in Yedurulanka, explores the morality of people during the paranoia about the end of the world on December 21, 2012, as some represent hope and passion while others represent the calculated types who want to profit from fear.",Clax,Kartikeya Gummakonda,6.9,1765,149,Telugu,7,12.8,Super Hit
Writer Padmabhushan,"Comedy, Drama","Padmabhushan, a 25-year-old aspiring writer based out of Vijayawada and his middle class family take us on a roller coaster ride packed with innocuous fun and soft emotions, with their heart in the right place.",Shanmukha Prasanth,Suhas,7.6,5448,123,Telugu,4,12.3,Blockbuster
Amigos,"Action, Crime, Thriller",Three nearly-identical men become fast friends after meeting via an online doppelgänger-finding app. It's all fun and games until one of them turns out to be a notorious fugitive.,Rajendra Reddy,Brahmaji,5.9,2978,139,Telugu,25,11.8,Flop
Vinaro Bhagyamu Vishnu Katha,"Action, Comedy, Drama",Two lovely individuals crossing paths. Things take a turn as they meet and become integral for each other. Can they have a strong bond and happy life together?,Murali Kishor Abburu,Kiran Abbavaram,6.8,2953,138,Telugu,6,10.9,Hit
Michael,"Action, Crime, Drama",The gang fighting over places. A youngster decides to gain control of the area. Can he complete his dream of ruling over the place?,Ranjit Jeyakodi,Sundeep Kishan,5,1477,152,"Telugu, Tamil",15,10.1,Flop
Salaar,"Action, Drama, Thriller",A gang leader tries to keep a promise made to his dying friend and takes on the other criminal gangs.,Prashanth Neel,Prabhas,0,0,170,,0,0,Not yet Released
Dunki,"Comedy, Drama",The rampant use of an illegal backdoor route called 'Donkey Flight' by Indians to immigrate to countries like Canada and USA.,Rajkumar Hirani,Shah Rukh Khan,0,0,160,,0,0,Not yet Released
Merry Christmas,"Drama, Thriller","On Christmas Eve, an uneventful day turns the world of two people upside down.",Sriram Raghavan,Vijay Sethupathi,0,0,0,,0,0,Not yet Released
Captain Miller,"Action, Adventure, Drama","Set in 1930s-1940s in Bristish India and follows an outlaw called miller who engages in bloody loots,heists and assaults.",Arun Matheswaran,Dhanush,0,0,0,,0,0,Not yet Released
Operation Valentine,"Action, Drama, Thriller","Operation Valentine is a patriotic, edge-of-the-seat entertainer and will showcase our Air Force heroes on the front-lines and the challenges they faced as they fought one of the biggest, fiercest aerial attacks that India has ever seen.",Shakti Pratap Singh,Manushi Chhillar,0,0,0,,0,0,Not yet Released
Hi Nanna,"Drama, Family, Romance",Plot under wraps.,Shouryuv,Mrunal Thakur,0,0,122,,0,0,Not yet Released
Extra Ordinary Man,Action,Add a Plot,Vakkantham Vamsi,Nithiin,0,0,0,,0,0,Not yet Released
Animal,"Action, Crime, Drama","A son's love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son.",Sandeep Reddy Vanga,Ranbir Kapoor,0,0,182,,0,0,Not yet Released
